"check","observed","expected","pass","note"
"single_cell_data_layer_is_integer_counts_before_repair","TRUE","TRUE",TRUE,"The stored data layer was raw counts before repair; downstream repair normalizes it."
"all_signature_sets_have_matched_genes","TRUE","TRUE",TRUE,"No hand-picked rescue genes were added."
"normalized_gmm_cutoff_is_finite","0.0552981350942481","finite",TRUE,"Operational exploratory split only."
"cellchat_uses_normalized_expression","TRUE","TRUE",TRUE,"Existing cells only."
"cellchat_recomputed_pvalues_not_cached","FALSE","FALSE",TRUE,"All 100 bootstrap permutations were run in this repair."
"cellchat_bootstrap_count","100","100",TRUE,"Pooled-cell inference, not patient-level significance."
"external_ambiguous_assignments_are_excluded_from_primary_tests","6","6",TRUE,"4/57 in GSE141801 and 2/31 in GSE39645."
"external_nf2_field_not_converted_to_mutation","TRUE","TRUE",TRUE,"Clinical NF2-associated disease only."
"bulk_step1_gene_filter_reproduced","TRUE","TRUE",TRUE,"TPM input; no FASTQ reconstruction."
"k3_labels_reproduced","1","1",TRUE,"Patient labels compared with the cached original clustering."
"mgs_joint_r2_reproduced","0.7673127","0.7673127",TRUE,"Same-transcriptome association, not causal variance attribution."
"mgs_orientation_does_not_change_joint_r2","9.99200722162641e-16","0",TRUE,"Sequential component allocation remains order-dependent."
"clinical_cohort_size","38","38",TRUE,"Subtype-labeled discovery patients."
"p32_first_dimension_author_confirmed_22_mm","22","22",TRUE,"Raw record retained; corrected value is documented separately."
"nk_is_reported_as_percentage_measure","TRUE","TRUE",TRUE,"Source unit row is percentage; do not call it an absolute count."
"paired_nondefining_go_bp_fdr_below_005","0","0",TRUE,"Paired high/low gene-level signal is exploratory and score-defined."
